Student,Web Server,DB Server,On-Prem TE Ent. Agent,Azure TE Ent. Agent
student-1,nopcommerce-web-1,nopcommerce-db-1,dmz-te-student-1,azure-te-student-1
student-2,nopcommerce-web-2,nopcommerce-db-2,dmz-te-student-2,azure-te-student-2
student-3,nopcommerce-web-3,nopcommerce-db-3,dmz-te-student-3,azure-te-student-3
student-4,nopcommerce-web-4,nopcommerce-db-4,dmz-te-student-4,azure-te-student-4
student-5,nopcommerce-web-5,nopcommerce-db-5,dmz-te-student-5,azure-te-student-5
student-6,nopcommerce-web-6,nopcommerce-db-6,dmz-te-student-6,azure-te-student-6
student-7,nopcommerce-web-7,nopcommerce-db-7,dmz-te-student-7,azure-te-student-7
student-8,nopcommerce-web-8,nopcommerce-db-8,dmz-te-student-8,azure-te-student-8
student-9,nopcommerce-web-9,nopcommerce-db-9,dmz-te-student-9,azure-te-student-9
student-10,nopcommerce-web-10,nopcommerce-db-10,dmz-te-student-10,azure-te-student-10
student-11,nopcommerce-web-11,nopcommerce-db-11,dmz-te-student-11,azure-te-student-11
student-12,nopcommerce-web-12,nopcommerce-db-12,dmz-te-student-12,azure-te-student-12
